#bytes,#repetitions,t[usec],Mbytes/sec
8,1000,12.50,0.64
16,1000,12.42,1.29
32,1000,12.47,2.57
64,1000,12.70,5.04
128,1000,12.49,10.24
256,1000,12.83,19.96
512,1000,12.68,40.39
1024,1000,12.87,79.55
2048,1000,20.87,98.14
4096,1000,25.86,158.39
8192,1000,38.96,210.28
16384,1000,39.89,410.70
32768,1000,81.64,401.39
65536,640,111.28,588.92
131072,320,150.37,871.67
262144,160,213.90,1225.56
524288,80,327.97,1598.59
1048576,40,524.73,1998.31
2097152,20,944.22,2221.05
4194304,10,1724.09,2432.77
8388608,5,3572.17,2348.32
16777216,2,7143.44,2348.62
33554432,1,14464.94,2319.71
67108864,1,28762.58,2333.20
134217728,1,55636.80,2412.39
268435456,1,115238.28,2329.39
